m,d,a,psi,rho,mu,theta_H,level_sum,gdp,u_C,s_L
0.2,0.2,0.45,0.75,0.25,0.04,0.1,5,2.6922046068436067,3.2961058867877107,58.71325594649915
0.2,0.2,0.45,0.75,0.25,0.04,0.25,6,2.849768395756702,3.1943992315401006,58.70421224683415
0.2,0.2,0.45,0.75,0.25,0.04,0.5,7,2.9553178441832584,3.1234405161258834,58.698160657725154
0.2,0.2,0.45,0.75,0.0,0.17,0.1,4,3.396551911832413,3.0846026483356503,58.15396621680857
0.2,0.2,0.45,0.75,0.0,0.17,0.25,5,3.5216348332118397,2.990356757384345,58.14673813320774
0.2,0.2,0.45,0.75,0.0,0.17,0.5,6,3.596103012866103,2.933800170228866,58.14243844428475
0.2,0.2,0.45,0.75,0.0,0.08,0.1,5,3.3273508725407908,3.2650879142917764,58.157968312108025
0.2,0.2,0.45,0.75,0.0,0.08,0.25,6,3.493189336038771,3.1437761608305888,58.148381236351085
0.2,0.2,0.45,0.75,0.0,0.08,0.5,7,3.5981858840387737,3.0648695782924973,58.142318220295785
0.2,0.2,0.45,0.75,0.0,0.04,0.1,6,3.256808718010662,3.4510817084030156,58.16205033328533
0.2,0.2,0.45,0.75,0.0,0.04,0.25,7,3.444471182165776,3.324880257737849,58.15119625259915
0.2,0.2,0.45,0.75,0.0,0.04,0.5,8,3.5710379609002807,3.235264595159305,58.14388536959208
0.2,0.2,0.45,0.9,0.5,0.17,0.1,3,2.3529766373915795,2.96449376003947,59.12667219412234
0.2,0.2,0.45,0.9,0.5,0.17,0.25,4,2.4257383456101733,2.9116167063821146,59.12252253817719
0.2,0.2,0.45,0.9,0.5,0.17,0.5,5,2.468893938767791,2.8801839383978276,59.12006253523489
0.2,0.2,0.45,0.9,0.5,0.08,0.1,4,2.3003156547720893,3.0777849816463796,59.129677067818456
0.2,0.2,0.45,0.9,0.5,0.08,0.25,5,2.409319230522722,3.0029071037550668,59.12345871207848
0.2,0.2,0.45,0.9,0.5,0.08,0.5,6,2.4765508751406484,2.956041919251034,59.11962615882511
0.2,0.2,0.45,0.9,0.5,0.04,0.1,5,2.260487481321971,3.1819565390741293,59.13195057285363
0.2,0.2,0.45,0.9,0.5,0.04,0.25,6,2.392038634113325,3.10015951284372,59.12444414430023
0.2,0.2,0.45,0.9,0.5,0.04,0.5,7,2.4789730620585093,3.044361831740045,59.11948812180567
0.2,0.2,0.45,0.9,0.25,0.17,0.1,4,3.064979255353051,3.043410889665147,58.46435926561556
0.2,0.2,0.45,0.9,0.25,0.17,0.25,5,3.1728716463750306,2.963093488218611,58.45815046361561
0.2,0.2,0.45,0.9,0.25,0.17,0.5,6,3.237005572051044,2.9150638065160392,58.45446243379555
0.2,0.2,0.45,0.9,0.25,0.08,0.1,5,3.002513495732262,3.200562030030811,58.467956482432136
0.2,0.2,0.45,0.9,0.25,0.08,0.25,6,3.1501540442548714,3.094651927541161,58.45945731362623
0.2,0.2,0.45,0.9,0.25,0.08,0.5,7,3.2430902969687425,3.0264360825781984,58.45411263289516
0.2,0.2,0.45,0.9,0.25,0.04,0.1,6,2.943778279588427,3.3585871826129674,58.47134057448879
0.2,0.2,0.45,0.9,0.25,0.04,0.25,7,3.114374287080235,3.24653314728425,58.46151607591562
0.2,0.2,0.45,0.9,0.25,0.04,0.5,8,3.229123590297567,3.16766846627698,58.45491558232933
0.2,0.2,0.45,0.9,0.0,0.17,0.1,5,3.7804339558269007,3.127156902153206,57.799694196101235
0.2,0.2,0.45,0.9,0.0,0.17,0.25,6,3.923410575423447,3.0181955704169634,57.79139357059771
0.2,0.2,0.45,0.9,0.0,0.17,0.5,7,4.008324163662591,2.9528281063849042,57.78646847407225
0.2,0.2,0.45,0.9,0.0,0.08,0.1,6,3.702912692660587,3.3335783458824015,57.80419885581799
0.2,0.2,0.45,0.9,0.0,0.08,0.25,7,3.88753387313725,3.1959620218067926,57.79347550174806
0.2,0.2,0.45,0.9,0.0,0.08,0.5,8,4.004672587662683,3.1058658567506487,57.78668019921085
0.2,0.2,0.45,0.9,0.0,0.04,0.1,7,3.6177724067885997,3.5510335734512837,57.809149574025454
0.2,0.2,0.45,0.9,0.0,0.04,0.25,8,3.8225356833165414,3.4101613486653313,57.79724892792246
0.2,0.2,0.45,0.9,0.0,0.04,0.5,9,3.960540154809178,3.3095242877330526,57.789239583374886
0.2,0.2,0.8,0.5,0.5,0.17,0.1,2,2.717683862806708,2.9711388559582965,59.61191899450833
0.2,0.2,0.8,0.5,0.5,0.17,0.25,3,2.7916574031352948,2.9172188129056598,59.607765129655355
0.2,0.2,0.8,0.5,0.5,0.17,0.5,4,2.836454802805033,2.884440992665564,59.60525084943441
0.2,0.2,0.8,0.5,0.5,0.08,0.1,3,2.661460220616707,3.0861435444319496,59.61507785784485
0.2,0.2,0.8,0.5,0.5,0.08,0.25,4,2.770256209786015,3.0112070309854744,59.60896661566861
0.2,0.2,0.8,0.5,0.5,0.08,0.5,5,2.838423750995034,2.9635717694613777,59.605140362608196
0.2,0.2,0.8,0.5,0.5,0.04,0.1,4,2.619091552265429,3.1893442797731772,59.61745927465276
0.2,0.2,0.8,0.5,0.5,0.04,0.25,5,2.748577183490819,3.1083945163907725,59.610183918196334
0.2,0.2,0.8,0.5,0.5,0.04,0.5,6,2.835247096119775,3.0526684191905815,59.60531862036369
0.2,0.2,0.8,0.5,0.25,0.17,0.1,3,3.1188218508982235,3.013783642993303,59.24462560618683
0.2,0.2,0.8,0.5,0.25,0.17,0.25,4,3.212059601042694,2.9450104495281195,59.239363344271254
0.2,0.2,0.8,0.5,0.25,0.17,0.5,5,3.268394608895897,2.903238200361782,59.236185817157974
0.2,0.2,0.8,0.5,0.25,0.08,0.1,4,3.057667224863647,3.1525733875426156,59.248079338136606
0.2,0.2,0.8,0.5,0.25,0.08,0.25,5,3.188474791872098,3.0604350500495885,59.24069406639217
0.2,0.2,0.8,0.5,0.25,0.08,0.5,6,3.2709247113227535,3.0012298912153446,59.23604314379747
